Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,discount
1,1,0.6309297535714575
1,2,0.5
1,3,0.43067655807339306
1,4,0.38685280723454163
1,5,0.3562071871080222
1,6,0.227670248696953
1,7,0.23137821315975915
1,8,0.23540891336663824
1,9,0.23981246656813146
1,10,0.24465054211822604
1,11,0.1949590218937863
1,12,0.1965616322328226
1,13,0.19823986317056053
1,14,0.2
1,15,0.20184908658209985
2,1,0.43067655807339306
2,2,0.38685280723454163
2,3,0.3562071871080222
2,4,0.3333333333333333
2,5,0.31546487678572877
2,6,0.22106472945750374
2,7,0.22424382421757544
2,8,0.227670248696953
2,9,0.23137821315975915
2,10,0.23540891336663824
2,11,0.19195872000656014
2,12,0.19342640361727081
2,13,0.1949590218937863
2,14,0.1965616322328226
2,15,0.19823986317056053
3,1,0.3562071871080222
3,2,0.3333333333333333
3,3,0.31546487678572877
3,4,0.3010299956639812
3,5,0.2890648263178879
3,6,0.21533827903669653
3,7,0.21810429198553155
3,8,0.22106472945750374
3,9,0.22424382421757544
3,10,0.227670248696953
3,11,0.18920035951687003
3,12,0.1905514124267734
3,13,0.19195872000656014
3,14,0.19342640361727081
3,15,0.1949590218937863
4,1,0.3010299956639812
4,2,0.2890648263178879
4,3,0.27894294565112987
4,4,0.27023815442731974
4,5,0.26264953503719357
4,6,0.20801459767650948
4,7,0.2103099178571525
4,8,0.21274605355336318
4,9,0.21533827903669653
4,10,0.21810429198553155
4,11,0.1854490234153689
4,12,0.18665241123894338
4,13,0.18790182470910757
4,14,0.18920035951687003
4,15,0.1905514124267734
5,1,0.27023815442731974
5,2,0.26264953503719357
5,3,0.2559580248098155
5,4,0.25
5,5,0.24465054211822604
5,6,0.20184908658209985
5,7,0.2037950470905062
5,8,0.20584683246043448
5,9,0.20801459767650948
5,10,0.2103099178571525
5,11,0.18208790046993825
5,12,0.18316925091363362
5,13,0.18428883314870617
5,14,0.1854490234153689
5,15,0.18665241123894338
6,1,0.25
6,2,0.24465054211822604
6,3,0.23981246656813146
6,4,0.23540891336663824
6,5,0.23137821315975915
6,6,0.1965616322328226
6,7,0.19823986317056053
6,8,0.2
6,9,0.20184908658209985
6,10,0.2037950470905062
6,11,0.17905223175104137
6,12,0.18003132665669264
6,13,0.1810425967800402
6,14,0.18208790046993825
6,15,0.18316925091363362
7,1,0.23540891336663824
7,2,0.23137821315975915
7,3,0.227670248696953
7,4,0.22424382421757544
7,5,0.22106472945750374
7,6,0.19195872000656014
7,7,0.19342640361727081
7,8,0.1949590218937863
7,9,0.1965616322328226
7,10,0.19823986317056053
7,11,0.17629143438888212
7,12,0.17718382013555792
7,13,0.1781035935540111
7,14,0.17905223175104137
7,15,0.18003132665669264
8,1,0.22424382421757544
8,2,0.22106472945750374
8,3,0.21810429198553155
8,4,0.21533827903669653
8,5,0.21274605355336318
8,6,0.18790182470910757
8,7,0.18920035951687003
8,8,0.1905514124267734
8,9,0.19195872000656014
8,10,0.19342640361727081
8,11,0.17376534287144002
8,12,0.17458343004804494
8,13,0.17542506358195453
8,14,0.17629143438888212
8,15,0.17718382013555792
9,1,0.21533827903669653
9,2,0.21274605355336318
9,3,0.2103099178571525
9,4,0.20801459767650948
9,5,0.20584683246043448
9,6,0.18428883314870617
9,7,0.1854490234153689
9,8,0.18665241123894338
9,9,0.18790182470910757
9,10,0.18920035951687003
9,11,0.17144160057391347
9,12,0.17219543379409813
9,13,0.1729696904450771
9,14,0.17376534287144002
9,15,0.17458343004804494
10,1,0.20801459767650948
10,2,0.20584683246043448
10,3,0.2037950470905062
10,4,0.20184908658209985
10,5,0.2
10,6,0.1810425967800402
10,7,0.18208790046993825
10,8,0.18316925091363362
10,9,0.18428883314870617
10,10,0.1854490234153689
10,11,0.16929380759878143
10,12,0.16999161628691403
10,13,0.17070727966372012
10,14,0.17144160057391347
10,15,0.17219543379409813
