Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,discount
1,1,0.2321570733330667
1,2,0.2046025226685466
1,3,0.18867484080879945
1,4,0.17791737853908435
1,5,0.16999161628691403
1,6,0.14804095548293264
1,7,0.1511110183890348
1,8,0.15465572985010212
1,9,0.1588194655028243
1,10,0.16381796347882777
1,11,0.13708731878239783
1,12,0.13885737865567988
1,13,0.14080068461440173
1,14,0.14294935501629266
1,15,0.1453447023016037
2,1,0.20419663179649342
2,2,0.188415160986794
2,3,0.17773230558519715
2,4,0.16985065099755248
2,5,0.16370565544521565
2,6,0.14529302083924284
2,7,0.1479824803596198
2,8,0.1510440220856126
2,9,0.1545777873109258
2,10,0.1587270415182853
2,11,0.13543337603853725
2,12,0.13705281127109029
2,13,0.13881961955285055
2,14,0.14075909516738436
2,15,0.14290319798437828
3,1,0.1881574978312642
3,2,0.17754836270902136
3,3,0.16971039355708506
3,4,0.16359382568799777
3,5,0.15863495891559604
3,6,0.14285714285714285
3,7,0.14524146354577502
3,8,0.1479241592721446
3,9,0.15097722101509808
3,10,0.1545000987733046
3,11,0.13391173292339814
3,12,0.13540171114778998
3,13,0.1370183649695011
3,14,0.13878193213696527
3,15,0.1407175906347643
4,1,0.17736553810370873
4,2,0.1695708378554925
4,3,0.1634824706930366
4,4,0.15854321551261977
4,5,0.15442266280111014
4,6,0.14067617071310393
4,7,0.14281118924136185
4,8,0.14519002990058413
4,9,0.14786599151360627
4,10,0.15091061418824261
4,11,0.13250483431497315
4,12,0.13388252312643728
4,13,0.13537009888785212
4,14,0.13698397968714404
4,15,0.1387443161695208
5,1,0.16943197785697245
5,2,0.16337158698260096
5,3,0.15845180914691856
5,4,0.154345477969697
5,5,0.15084420062289414
5,6,0.13870677141314172
5,7,0.140634835100506
5,8,0.14276533674596473
5,9,0.14513871938615036
5,10,0.14780797638170154
5,11,0.13119826835175236
5,12,0.1324777632401819
5,13,0.13385335899763726
5,14,0.13533853910508203
5,15,0.13694965523437597
6,1,0.16326117111488106
6,2,0.15836073767552433
6,3,0.15426854286578429
6,4,0.15077797934393164
6,5,0.1477501131786861
6,6,0.13691539142239212
6,7,0.1386692976315737
6,8,0.14059358349660347
6,9,0.14271958498201948
6,10,0.14508753148802617
6,11,0.12998007347308715
6,12,0.13117307472162182
6,13,0.13245073211345773
6,14,0.13382424041147
6,15,0.1353070316464763
7,1,0.15826999897471306
7,2,0.15419185608733876
7,3,0.1507119493832002
7,4,0.1476924012113363
7,5,0.14503646569481302
7,6,0.13527557635966633
7,7,0.1368811880632211
7,8,0.1386318945896765
7,9,0.14055241560254936
7,10,0.14267393356271785
7,11,0.1288402240804449
7,12,0.12995653927604905
7,13,0.1311479162890562
7,14,0.13242374083106392
7,15,0.1337951672428988
8,1,0.15411541624345942
8,2,0.15064610977944676
8,3,0.14763483979091144
8,4,0.14498552149813776
8,5,0.14262838210336
8,6,0.13376613936737558
8,7,0.1352441730929149
8,8,0.13684704496972025
8,9,0.13859456205341725
8,10,0.140511331121007
8,11,0.12777024273520352
8,12,0.1288181657151688
8,13,0.12993303629279965
8,14,0.13112279296744736
8,15,0.13239678928964732
9,1,0.15058045957825658
9,2,0.1475774282331162
9,3,0.14493469839262973
9,4,0.14258293022133992
9,5,0.14047032975614
9,6,0.13236987738623676
9,7,0.13373715666083857
9,8,0.13521282169511276
9,9,0.1368129619555709
9,10,0.1385572997898637
9,11,0.12676290360187092
9,12,0.12774950428147988
9,13,0.12879613519350303
9,14,0.1299095644503644
9,15,0.1310977046704908
10,1,0.1475201658580638
10,2,0.14488399587589768
10,3,0.14253757753613047
10,4,0.14042941121360247
10,5,0.13852010756717748
10,6,0.13107265131218435
10,7,0.132343005018241
10,8,0.13370821899970986
10,9,0.1351815220157754
10,10,0.13677893883527373
10,11,0.12581200275023383
10,12,0.12674335163861347
10,13,0.12772879079757346
10,14,0.12877413245344815
10,15,0.1298861236760119
