Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,discount
1,1,0.3010299956639812
1,2,0.23540891336663824
1,3,0.20801459767650948
1,4,0.19195872000656014
1,5,0.1810425967800402
1,6,0.13829569766087782
1,7,0.1415639226145922
1,8,0.14539992069869673
1,9,0.15
1,10,0.1556727214005694
1,11,0.11428631347252376
1,12,0.11590163761903978
1,13,0.1176873468797867
1,14,0.11967759167473575
1,15,0.1219171482439124
2,1,0.2890648263178879
2,2,0.23137821315975915
2,3,0.20584683246043448
2,4,0.1905514124267734
2,5,0.18003132665669264
2,6,0.13796143978741027
2,7,0.1411755973734969
2,8,0.1449402945808
2,9,0.14944288159434405
2,10,0.15497589041468832
2,11,0.11411613677324438
2,12,0.11571428571428571
2,13,0.11747953721279855
2,14,0.1194450721120937
2,15,0.12165429141118726
3,1,0.27894294565112987
3,2,0.227670248696953
3,3,0.2037950470905062
3,4,0.18920035951687003
3,5,0.17905223175104137
3,6,0.13763238147254894
3,7,0.1407940095078644
3,8,0.14448967689061926
3,9,0.1488982985271525
3,10,0.15429744051652214
3,11,0.11394769827761418
3,12,0.11552898950372162
3,13,0.11727418999730609
3,14,0.11921554640356803
3,15,0.12139513872187743
4,1,0.25672624670595373
4,2,0.21303163300669667
4,3,0.19175663225299486
4,4,0.17850673347365217
4,5,0.16919841387631052
4,6,0.1304429643639912
4,7,0.1333980105940024
4,8,0.13684537763287224
4,9,0.14094748249744712
4,10,0.1459547241124807
4,11,0.10809191874734973
4,12,0.10957842432752704
4,13,0.11121769192580737
4,14,0.11303950048301721
4,15,0.11508262010474447
5,1,0.23704120537106718
5,2,0.19951091833539714
5,3,0.1805
5,4,0.1684538011431464
5,5,0.15990839767234102
5,6,0.12363285411783194
5,7,0.12639535266667573
5,8,0.12961188237790727
5,9,0.13342997258167533
5,10,0.13807569032904593
5,11,0.10253836160838208
5,12,0.10393587870944257
5,13,0.10547579058263035
5,14,0.10718560378379377
5,15,0.10910104869995142
6,1,0.21945201152131552
6,2,0.1869971673410951
6,3,0.16996590268585932
6,4,0.1589993564507519
6,5,0.1511478685591678
6,6,0.11718176070334396
6,7,0.11976474735455556
6,8,0.12276660635724246
6,9,0.12632142270360758
6,10,0.1306334504610047
6,11,0.0972713432149579
6,12,0.09858530602249253
6,13,0.10003202002183863
6,14,0.10163689867103666
6,15,0.10343287986308247
7,1,0.20362656249999997
7,2,0.17539437413963327
7,3,0.16010067796383545
7,4,0.15010440640482833
7,5,0.14288481069414932
7,6,0.11107050085786807
7,7,0.11348608798410775
7,8,0.11628824895472155
7,9,0.11959891931460828
7,10,0.12360278044301891
7,11,0.09227599962244622
7,12,0.09351150269764259
7,13,0.09487078492659015
7,14,0.09637733129259077
7,15,0.09806151350266423
8,1,0.18930592584012412
8,2,0.16461884076794653
8,3,0.15085557473505695
8,4,0.14173287469312412
8,5,0.13508933017454183
8,6,0.1052809359989624
8,7,0.10754038151414042
8,8,0.11015671695367606
8,9,0.11324089108335403
8,10,0.11696000727002413
8,11,0.08753824334181598
8,12,0.08870006342707874
8,13,0.08997731393363187
8,14,0.09139170257548093
8,15,0.09297124211084948
9,1,0.1762841994450123
9,2,0.15459711513480265
9,3,0.1421861807318139
9,4,0.13385133901638369
9,5,0.12773349441646817
9,6,0.09979591376313002
9,7,0.10190968460708721
9,8,0.10435305271599178
9,9,0.10722702486786226
9,10,0.11068290426912428
9,11,0.08304472240455424
9,12,0.08413733878474736
9,13,0.08533761550841941
9,14,0.08666562194420944
9,15,0.08814720174326311
10,1,0.16439482403682593
10,2,0.14526435168944282
10,3,0.1340519334909984
10,4,0.12642879751316427
10,5,0.12079118593158804
10,6,0.09459921294679403
10,7,0.09657704356589612
10,8,0.09885936694309914
10,9,0.10153818747297351
10,10,0.10475059441406245
10,11,0.07878278161245642
10,12,0.07981039513092492
10,13,0.08093843622771786
10,14,0.08218546360447744
10,15,0.08357532577314682
