Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,discount
1,1,0.27023815442731974
1,2,0.23540891336663824
1,3,0.21533827903669653
1,4,0.20184908658209985
1,5,0.19195872000656014
1,6,0.18428883314870617
1,7,0.1781035935540111
1,8,0.1729696904450771
1,9,0.1686130986895011
1,10,0.16485085672216038
1,11,0.16155546744299637
1,12,0.15863495891559604
1,13,0.15602106502222501
1,14,0.15366188628986424
1,15,0.1515171524096389
2,1,0.23137821315975915
2,2,0.21274605355336318
2,3,0.2
2,4,0.1905514124267734
2,5,0.18316925091363362
2,6,0.17718382013555792
2,7,0.17219543379409813
2,8,0.16794877895704194
2,9,0.16427204996205025
2,10,0.16104477175644444
2,11,0.15817959093978226
2,12,0.15561139140249397
2,13,0.15329048865267808
2,14,0.15117821092177644
2,15,0.14924393652741208
3,1,0.2103099178571525
3,2,0.19823986317056053
3,3,0.18920035951687003
3,4,0.18208790046993825
3,5,0.17629143438888212
3,6,0.17144160057391347
3,7,0.16730017881017412
3,8,0.16370565544521565
3,9,0.1605440854340214
3,10,0.15773243839286438
3,11,0.15520856277015513
3,12,0.15292486830283214
3,13,0.15084420062289414
3,14,0.14893706185882832
3,15,0.14717968691798522
4,1,0.1965616322328226
4,2,0.18790182470910757
4,3,0.1810425967800402
4,4,0.17542506358195453
4,5,0.17070727966372012
4,6,0.16666666666666666
4,7,0.1631512196835108
4,8,0.16005307325482135
4,9,0.1572932473495469
4,10,0.1548123827357682
4,11,0.15256487060115928
4,12,0.1505149978319906
4,13,0.148634337571835
4,14,0.1468999356504447
4,15,0.14529302083924284
5,1,0.18665241123894338
5,2,0.18003132665669264
5,3,0.17458343004804494
5,4,0.16999161628691403
5,5,0.16604764621593782
5,6,0.16260831227163416
5,7,0.15957141566993818
5,8,0.156861774859441
5,9,0.15442266280111014
5,10,0.15221034671324338
5,11,0.15019048322368797
5,12,0.14833566670536175
5,13,0.14662371845531105
5,14,0.14503646569481302
5,15,0.14355885269113103
6,1,0.17905223175104137
6,2,0.17376534287144002
6,3,0.16929380759878143
6,4,0.16544255391905832
6,5,0.16207652439312228
6,6,0.15909880786929415
6,7,0.15643778834207153
6,8,0.15403922195426356
6,9,0.15186115333086322
6,10,0.14987054163194743
6,11,0.14804095548293264
6,12,0.146350958075862
6,13,0.14478295061395813
6,14,0.14332232775009315
6,15,0.14195685009331532
7,1,0.1729696904450771
7,2,0.1686130986895011
7,3,0.16485085672216038
7,4,0.16155546744299637
7,5,0.15863495891559604
7,6,0.15602106502222501
7,7,0.15366188628986424
7,8,0.1515171524096389
7,9,0.14955506186451523
7,10,0.1477501131786861
7,11,0.14608157963242446
7,12,0.14453241315894394
7,13,0.14308844150498737
7,14,0.1417377701235801
7,15,0.14047032975614
8,1,0.16794877895704194
8,2,0.16427204996205025
8,3,0.16104477175644444
8,4,0.15817959093978226
8,5,0.15561139140249397
8,6,0.15329048865267808
8,7,0.15117821092177644
8,8,0.14924393652741208
8,9,0.14746305199023912
8,10,0.14581551052860536
8,11,0.1442847926987864
8,12,0.14285714285714285
8,13,0.14152099882215266
8,14,0.14026655943145866
8,15,0.1390854521985406
9,1,0.16370565544521565
9,2,0.1605440854340214
9,3,0.15773243839286438
9,4,0.15520856277015513
9,5,0.15292486830283214
9,6,0.15084420062289414
9,7,0.14893706185882832
9,8,0.14717968691798522
9,9,0.14555268036201674
9,10,0.1440400303421672
9,11,0.14262838210336
9,12,0.14130649390055278
9,13,0.14006482349398794
9,14,0.13889520968509134
9,15,0.13779062407514628
10,1,0.16005307325482135
10,2,0.1572932473495469
10,3,0.1548123827357682
10,4,0.15256487060115928
10,5,0.1505149978319906
10,6,0.148634337571835
10,7,0.1468999356504447
10,8,0.14529302083924284
10,9,0.14379806887337757
10,10,0.14240211088697471
10,11,0.14109421416360957
10,12,0.13986508659473787
10,13,0.13870677141314172
10,14,0.1376124087861776
10,15,0.13657604759848213
