Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,n_users_tasks,exam_freq,exam_row,inner_freq
1.0,1.0,2157,90.82105263157895,2327,92.69445638160721
1.0,2.0,1880,79.15789473684211,2327,80.79071766222604
1.0,3.0,1895,79.78947368421052,2327,81.43532445208422
1.0,4.0,1952,82.18947368421053,2327,83.88483025354535
1.0,5.0,1995,84.0,2327,85.7327030511388
1.0,6.0,784,33.01052631578948,2327,33.69144821658788
1.0,7.0,843,35.49473684210526,2327,36.22690159003008
1.0,8.0,840,35.368421052631575,2327,36.09798023205845
1.0,9.0,875,36.84210526315789,2327,37.60206274172755
1.0,10.0,892,37.55789473684211,2327,38.332617103566825
1.0,11.0,653,27.49473684210526,2327,28.061882251826386
1.0,12.0,684,28.799999999999997,2327,29.394069617533304
1.0,13.0,697,29.347368421052632,2327,29.952728835410397
1.0,14.0,743,31.284210526315793,2327,31.929522990975507
1.0,15.0,752,31.663157894736845,2327,32.31628706489042
2.0,1.0,2007,84.50526315789475,2273,88.29740431148262
2.0,2.0,1808,76.1263157894737,2273,79.54245490541135
2.0,3.0,1774,74.69473684210526,2273,78.04663440387154
2.0,4.0,1730,72.84210526315789,2273,76.11086669599648
2.0,5.0,1778,74.86315789473684,2273,78.22261328640563
2.0,6.0,593,24.96842105263158,2273,26.08886933567972
2.0,7.0,660,27.789473684210524,2273,29.036515618125826
2.0,8.0,668,28.126315789473683,2273,29.388473383194018
2.0,9.0,702,29.557894736842105,2273,30.884293884733832
2.0,10.0,698,29.389473684210525,2273,30.708315002199736
2.0,11.0,511,21.51578947368421,2273,22.481302243730752
2.0,12.0,550,23.157894736842106,2273,24.197096348438187
2.0,13.0,554,23.326315789473682,2273,24.373075230972283
2.0,14.0,592,24.926315789473684,2273,26.044874615046194
2.0,15.0,593,24.96842105263158,2273,26.08886933567972
3.0,1.0,1803,75.91578947368421,2072,87.0173745173745
3.0,2.0,1684,70.90526315789474,2072,81.27413127413128
3.0,3.0,1632,68.71578947368421,2072,78.76447876447877
3.0,4.0,1552,65.34736842105264,2072,74.9034749034749
3.0,5.0,1542,64.92631578947369,2072,74.42084942084942
3.0,6.0,500,21.052631578947366,2072,24.13127413127413
3.0,7.0,566,23.83157894736842,2072,27.316602316602317
3.0,8.0,567,23.873684210526317,2072,27.364864864864863
3.0,9.0,600,25.263157894736842,2072,28.957528957528954
3.0,10.0,596,25.094736842105263,2072,28.764478764478763
3.0,11.0,434,18.273684210526316,2072,20.945945945945947
3.0,12.0,442,18.610526315789475,2072,21.332046332046332
3.0,13.0,456,19.2,2072,22.00772200772201
3.0,14.0,499,21.010526315789473,2072,24.083011583011583
3.0,15.0,494,20.8,2072,23.84169884169884
4.0,1.0,1649,69.43157894736842,1883,87.57302177376528
4.0,2.0,1511,63.62105263157895,1883,80.24429102496016
4.0,3.0,1496,62.98947368421053,1883,79.44768985661179
4.0,4.0,1403,59.07368421052631,1883,74.50876261285183
4.0,5.0,1378,58.021052631578954,1883,73.18109399893787
4.0,6.0,461,19.410526315789472,1883,24.482209240573553
4.0,7.0,512,21.557894736842105,1883,27.190653212958043
4.0,8.0,499,21.010526315789473,1883,26.500265533722782
4.0,9.0,524,22.063157894736843,1883,27.82793414763675
4.0,10.0,520,21.894736842105264,1883,27.615507169410513
4.0,11.0,375,15.789473684210526,1883,19.915029208709505
4.0,12.0,400,16.842105263157894,1883,21.242697822623473
4.0,13.0,410,17.263157894736842,1883,21.77376526818906
4.0,14.0,418,17.599999999999998,1883,22.19861922464153
4.0,15.0,426,17.936842105263157,1883,22.623473181094
5.0,1.0,1514,63.74736842105263,1704,88.84976525821597
5.0,2.0,1392,58.61052631578947,1704,81.69014084507043
5.0,3.0,1335,56.21052631578948,1704,78.34507042253522
5.0,4.0,1291,54.357894736842105,1704,75.76291079812206
5.0,5.0,1226,51.62105263157895,1704,71.94835680751174
5.0,6.0,417,17.557894736842105,1704,24.471830985915492
5.0,7.0,474,19.957894736842103,1704,27.816901408450708
5.0,8.0,458,19.28421052631579,1704,26.877934272300468
5.0,9.0,480,20.210526315789473,1704,28.169014084507044
5.0,10.0,486,20.46315789473684,1704,28.52112676056338
5.0,11.0,361,15.2,1704,21.185446009389672
5.0,12.0,376,15.831578947368422,1704,22.065727699530516
5.0,13.0,383,16.126315789473683,1704,22.476525821596244
5.0,14.0,400,16.842105263157894,1704,23.474178403755868
5.0,15.0,403,16.96842105263158,1704,23.650234741784036
6.0,1.0,1363,57.38947368421052,1567,86.98149329929802
6.0,2.0,1226,51.62105263157895,1567,78.23867262284621
6.0,3.0,1183,49.810526315789474,1567,75.49457562220803
6.0,4.0,1141,48.0421052631579,1567,72.81429483088705
6.0,5.0,1097,46.189473684210526,1567,70.0063816209317
6.0,6.0,379,15.957894736842103,1567,24.186343331206125
6.0,7.0,427,17.978947368421053,1567,27.24952137843012
6.0,8.0,418,17.599999999999998,1567,26.67517549457562
6.0,9.0,424,17.852631578947367,1567,27.058072750478622
6.0,10.0,424,17.852631578947367,1567,27.058072750478622
6.0,11.0,322,13.557894736842105,1567,20.548819400127634
6.0,12.0,339,14.273684210526316,1567,21.633694958519463
6.0,13.0,348,14.652631578947368,1567,22.208040842373965
