alpha,beta,gamma,lambda_,spearman,pearson
2.4,1.2,9.6,1.2,0.9459051561630607,0.8844179029629287
2.4,1.2,10.0,1.2,0.9458918853887529,0.8859633419018562
2.4,1.2,9.8,1.2,0.9458821544763083,0.8852007396602238
2.4,1.4,9.6,1.2,0.9458304997658032,0.8909822977118633
2.4,1.4,9.8,1.2,0.9458213473488258,0.8917010281893547
2.2,1.2,9.4,1.2,0.9457355524042788,0.8836389680767162
2.4,1.4,9.0,1.2,0.9456898293305147,0.8887112341148701
2.0,1.2,9.8,1.6,0.9456722824220317,0.8773942549678174
2.2,1.2,9.2,1.2,0.945663595417989,0.8828612525454795
2.2,1.2,9.8,1.4,0.945644868799456,0.8817558323838951
2.6,1.6,9.8,1.4,0.9456427144083202,0.8936318883676295
2.2,1.2,10.0,1.4,0.9456126720118768,0.8824958402067041
2.6,1.6,9.6,1.2,0.9455868066564231,0.8958840619845354
2.2,1.4,9.6,1.4,0.9455844179069152,0.8877243735750334
2.6,1.6,10.0,1.2,0.9455839946052674,0.8972646700367737
