alpha,beta,eta,theta,spearman,pearson
1.2,9.2,0.88,0.94,0.955776332528252,0.9303355022010644
1.2,9.0,0.88,0.94,0.955776332528252,0.9303169709764431
1.2,10.0,0.88,0.94,0.9557478860103608,0.9303840600866776
1.2,9.8,0.88,0.94,0.9556981046040515,0.9303751746643496
1.2,9.4,0.88,0.94,0.9556874371598425,0.9303511685191621
1.2,9.6,0.88,0.94,0.955673213900897,0.9303642962949727
1.2,8.8,0.88,0.94,0.9555665394588055,0.9302952059871312
1.2,8.6,0.88,0.94,0.9555452045703872,0.9302697897751578
1.2,8.4,0.88,0.94,0.9554349743135595,0.9302402491844578
1.2,8.2,0.88,0.94,0.9553816370925138,0.9302060470869254
1.2,8.0,0.88,0.94,0.9551825114672766,0.9301665727112429
1.2,7.8,0.88,0.94,0.9549104916399436,0.9301211303055507
1.2,7.6,0.88,0.94,0.9548624881410024,0.9300689258062531
1.2,7.4,0.88,0.94,0.9547540357915428,0.9300090511119581
1.2,9.6,0.86,0.94,0.9545940241284059,0.9344449435146946
