alpha,beta,mu,nu,spearman,pearson
4.0,9.0,0.65,0.95,0.9939960072222255,0.9832973225025511
4.0,8.0,0.65,0.95,0.993972894426439,0.982666973064921
5.0,10.0,0.65,0.95,0.9939373362790753,0.9845234985945398
3.0,7.0,0.65,0.95,0.9939337804643388,0.9805045487271306
3.0,8.0,0.65,0.95,0.9939302246496025,0.9810994912518757
4.0,10.0,0.65,0.95,0.9939053339464478,0.983688957329546
2.0,4.0,0.65,0.95,0.9938911106875022,0.9724863132283467
3.0,6.0,0.65,0.95,0.9938751095211886,0.9794538722937314
4.0,7.0,0.65,0.95,0.9938679978917159,0.9816736488395954
1.0,1.0,0.55,0.95,0.9938502188180338,0.9123019837946136
3.0,4.0,0.6,0.95,0.9938484409106656,0.9789096046511933
5.0,9.0,0.65,0.95,0.9938271060222474,0.9838786469752547
3.0,5.0,0.65,0.95,0.9938271060222474,0.9776183777904404
3.0,9.0,0.65,0.95,0.9938199943927747,0.9814197841343734
2.0,5.0,0.65,0.95,0.993805771133829,0.974850991156141
