alpha,beta,gamma,lambda_,spearman,pearson
2.4,1.2,10.0,1.2,0.934609582447979,0.8836236802978998
2.4,1.2,9.8,1.2,0.9345598565873248,0.8828272637288225
2.4,1.2,9.6,1.2,0.9342584014572044,0.8820097960786649
2.6,1.2,10.0,1.2,0.9341712021900109,0.8830548162312576
2.2,1.2,9.8,1.4,0.9341547542981901,0.8794505161681163
2.0,1.2,9.8,1.6,0.9340799038771619,0.8751641466168318
2.2,1.2,10.0,1.4,0.9340362849251983,0.8802236930653647
2.6,1.2,9.8,1.2,0.9338918355762612,0.8822123922162223
2.6,1.2,9.4,1.2,0.9338721091029829,0.880459832196385
2.0,1.2,10.0,1.6,0.9338111425266341,0.8759145782576109
2.6,1.2,9.6,1.2,0.9336679364268042,0.8813476755048687
2.4,1.2,9.8,1.4,0.9336144255388104,0.8795438913280941
2.4,1.2,10.0,1.4,0.9335884682869175,0.8803611274208394
2.2,1.2,9.4,1.2,0.9334164212992622,0.8812432829528583
2.6,1.2,9.2,1.2,0.9334145293382019,0.8795479891452648
